Date,hour,temperature,price,load
2006/1/1,00:30-01:00,23.15,19.67,8013.27833
2006/1/1,01:00-01:30,23.15,18.56,7726.89167
2006/1/1,01:30-02:00,23.075000000000003,19.09,7372.85833
2006/1/1,02:00-02:30,23.0,17.4,7071.83333
2006/1/1,02:30-03:00,23.0,17.0,6865.44
2006/1/1,03:00-03:30,23.0,17.0,6685.92667
2006/1/1,03:30-04:00,22.950000000000003,17.0,6548.62833
2006/1/1,04:00-04:30,22.9,16.92,6487.83667
2006/1/1,04:30-05:00,22.9,15.2,6449.17833
2006/1/1,05:00-05:30,22.9,14.99,6388.27833
2006/1/1,05:30-06:00,23.075,15.08,6395.48
2006/1/1,06:00-06:30,23.25,15.16,6494.33333
2006/1/1,06:30-07:00,23.725,14.35,6715.20167
2006/1/1,07:00-07:30,24.200000005,15.25,7062.48
2006/1/1,07:30-08:00,25.55,15.74,7532.11667
2006/1/1,08:00-08:30,26.9,16.46,8037.86833
2006/1/1,08:30-09:00,27.875000005,16.95,8623.735
2006/1/1,09:00-09:30,28.85,19.09,9169.365
2006/1/1,09:30-10:00,29.75,24.0,9600.79
2006/1/1,10:00-10:30,30.65,29.85,10005.305
2006/1/1,10:30-11:00,31.174999999999997,34.03,10264.63167
2006/1/1,11:00-11:30,31.7,43.63,10463.60333
2006/1/1,11:30-12:00,32.150000000000006,45.6,10647.80833
2006/1/1,12:00-12:30,32.6,47.21,10682.93667
2006/1/1,12:30-13:00,32.974999999999994,68.11,10787.545
2006/1/1,13:00-13:30,33.35,99.57,10842.33167
2006/1/1,13:30-14:00,33.55,153.18,10907.03
2006/1/1,14:00-14:30,33.75,100.75,10859.58833
2006/1/1,14:30-15:00,33.9,103.6,10903.85167
2006/1/1,15:00-15:30,34.05,103.65,10900.735
2006/1/1,15:30-16:00,33.95,104.24,10952.31
2006/1/1,16:00-16:30,33.849999999999994,104.36,10948.03167
2006/1/1,16:30-17:00,33.75,104.25,10904.45333
2006/1/1,17:00-17:30,33.650000000000006,103.93,10997.89667
2006/1/1,17:30-18:00,33.15,73.93,11026.05
2006/1/1,18:00-18:30,32.65,60.38,11009.98667
2006/1/1,18:30-19:00,32.025,48.13,10923.48667
2006/1/1,19:00-19:30,31.399999995,45.25,10894.9
2006/1/1,19:30-20:00,30.85,49.16,10952.21833
2006/1/1,20:00-20:30,30.3,49.01,11112.76333
2006/1/1,20:30-21:00,26.74999999,40.53,10821.02
2006/1/1,21:00-21:30,23.2,26.9,10247.085
2006/1/1,21:30-22:00,22.775,20.94,9842.20667
2006/1/1,22:00-22:30,22.35,18.48,9345.815
2006/1/1,22:30-23:00,22.025,17.63,8924.16
2006/1/1,23:00-23:30,21.700000000000003,16.87,8416.87333
2006/1/1,23:30-00:00,21.549999999999997,16.84,8044.81833
2006/1/2,00:00-00:30,21.4,16.37,7737.02833
2006/1/2,00:30-01:00,21.35,15.35,7378.52333
2006/1/2,01:00-01:30,21.299999999999997,15.1,7146.215
2006/1/2,01:30-02:00,21.075,15.12,6852.245
2006/1/2,02:00-02:30,20.85,15.1,6643.685
2006/1/2,02:30-03:00,20.6,15.07,6529.54833
2006/1/2,03:00-03:30,20.35,15.1,6448.595
2006/1/2,03:30-04:00,20.175,15.01,6375.28833
2006/1/2,04:00-04:30,20.0,14.8,6364.80333
2006/1/2,04:30-05:00,20.025,15.07,6423.77333
2006/1/2,05:00-05:30,20.049999999999997,15.02,6427.65333
2006/1/2,05:30-06:00,19.6,14.22,6568.18833
2006/1/2,06:00-06:30,19.15,15.07,6636.45667
2006/1/2,06:30-07:00,19.025,14.08,6802.52833
2006/1/2,07:00-07:30,18.9,15.1,6990.35833
2006/1/2,07:30-08:00,18.924999999999997,15.18,7159.07
2006/1/2,08:00-08:30,18.95,15.58,7482.43833
2006/1/2,08:30-09:00,19.0,15.94,7721.50833
2006/1/2,09:00-09:30,19.049999999999997,16.78,8007.92
2006/1/2,09:30-10:00,19.15,16.84,8194.55833
2006/1/2,10:00-10:30,19.25,16.92,8287.84
2006/1/2,10:30-11:00,19.425,17.0,8354.12167
2006/1/2,11:00-11:30,19.6,17.0,8398.81333
2006/1/2,11:30-12:00,19.625,17.0,8348.86
2006/1/2,12:00-12:30,19.65,17.0,8341.38667
2006/1/2,12:30-13:00,20.049999999999997,17.18,8324.505
2006/1/2,13:00-13:30,20.45,17.0,8322.00667
2006/1/2,13:30-14:00,20.125,17.0,8303.15167
2006/1/2,14:00-14:30,19.8,17.04,8314.05333
2006/1/2,14:30-15:00,19.9,17.03,8319.595
2006/1/2,15:00-15:30,20.0,16.97,8327.145
2006/1/2,15:30-16:00,19.9,17.11,8328.98
2006/1/2,16:00-16:30,19.8,17.26,8351.05
2006/1/2,16:30-17:00,19.8,17.6,8389.24
2006/1/2,17:00-17:30,19.799999999999997,17.9,8456.72833
2006/1/2,17:30-18:00,19.75,17.4,8353.72333
2006/1/2,18:00-18:30,19.7,17.2,8334.12667
2006/1/2,18:30-19:00,19.7,16.86,8191.81
2006/1/2,19:00-19:30,19.700000000000003,16.86,8087.22333
2006/1/2,19:30-20:00,19.700000000000003,16.87,8056.53667
2006/1/2,20:00-20:30,19.700000000000003,17.0,8280.22
2006/1/2,20:30-21:00,19.65,16.87,8096.09333
2006/1/2,21:00-21:30,19.6,16.84,7884.9
2006/1/2,21:30-22:00,19.525,16.84,7911.675
2006/1/2,22:00-22:30,19.450000000000003,16.51,7816.335
2006/1/2,22:30-23:00,19.4,16.29,7808.34833
2006/1/2,23:00-23:30,19.35,16.25,7632.93667
2006/1/2,23:30-00:00,19.375,16.43,7429.40333
2006/1/3,00:00-00:30,19.4,15.88,7254.75333
2006/1/3,00:30-01:00,19.35,15.43,7069.56833
2006/1/3,01:00-01:30,19.299999999999997,15.08,6853.235
2006/1/3,01:30-02:00,19.25,15.28,6521.88
2006/1/3,02:00-02:30,19.200000000000003,14.69,6255.02833
2006/1/3,02:30-03:00,19.2,12.49,6090.655
2006/1/3,03:00-03:30,19.2,11.82,6046.28333
2006/1/3,03:30-04:00,19.1,11.01,6035.49833
2006/1/3,04:00-04:30,19.0,10.7,6040.67667
2006/1/3,04:30-05:00,19.05,12.12,6143.955
2006/1/3,05:00-05:30,19.1,13.84,6316.1
2006/1/3,05:30-06:00,19.174999999999997,15.02,6706.71667
2006/1/3,06:00-06:30,19.25,16.06,7114.53
2006/1/3,06:30-07:00,19.4,15.36,7488.11833
2006/1/3,07:00-07:30,19.550000005,16.33,7939.335
2006/1/3,07:30-08:00,20.325,16.84,8431.57333
2006/1/3,08:00-08:30,21.1,16.95,8885.89667
2006/1/3,08:30-09:00,21.925,17.93,9354.92167
2006/1/3,09:00-09:30,22.75,18.78,9577.29
2006/1/3,09:30-10:00,23.225000005,19.92,9787.94
2006/1/3,10:00-10:30,23.700000005,23.63,9957.565
2006/1/3,10:30-11:00,24.45,28.25,10097.47167
2006/1/3,11:00-11:30,25.200000000000003,33.55,10197.69167
2006/1/3,11:30-12:00,24.55,46.16,10313.15
2006/1/3,12:00-12:30,23.9,47.12,10326.965
2006/1/3,12:30-13:00,23.875,57.96,10441.28333
2006/1/3,13:00-13:30,23.85,72.93,10536.01167
2006/1/3,13:30-14:00,23.825,106.03,10658.27
2006/1/3,14:00-14:30,23.799999999999997,159.06,10674.235
2006/1/3,14:30-15:00,23.825000000000003,186.86,10647.035
2006/1/3,15:00-15:30,23.85,268.05,10671.07667
2006/1/3,15:30-16:00,23.775,195.79,10642.90167
2006/1/3,16:00-16:30,23.699999995,212.73,10606.66833
2006/1/3,16:30-17:00,22.950000000000003,52.29,10439.75333
2006/1/3,17:00-17:30,22.2,57.62,10246.81
2006/1/3,17:30-18:00,21.55,41.49,9837.41167
2006/1/3,18:00-18:30,20.9,26.26,9631.52333
2006/1/3,18:30-19:00,20.674999999999997,17.13,9280.94667
2006/1/3,19:00-19:30,20.450000000000003,16.97,8988.575
2006/1/3,19:30-20:00,20.15,17.0,8951.84167
2006/1/3,20:00-20:30,19.85,17.64,8967.45667
2006/1/3,20:30-21:00,19.625,18.03,8740.82667
2006/1/3,21:00-21:30,19.4,16.93,8452.16833
2006/1/3,21:30-22:00,19.475,16.88,8436.54167
2006/1/3,22:00-22:30,19.55,16.91,8259.34667
2006/1/3,22:30-23:00,19.475,16.93,8184.60333
2006/1/3,23:00-23:30,19.4,16.87,8010.57667
2006/1/3,23:30-00:00,19.3,16.87,7780.86167
2006/1/4,00:00-00:30,19.2,16.8,7526.44167
2006/1/4,00:30-01:00,19.2,16.71,7340.255
