Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),heating,cooling,fans,humid
 01/01  01:00:00,5.2875,5.100859469,92.75,0.005371183,4.458333333,220,0.990460762,0,0.182186295,0
 01/01  02:00:00,1.7625,1.29395064,91.5,0.003946277,1.933333333,220,1.422778845,0,0.247330844,0
 01/01  03:00:00,0.575,0.27680586,94.25,0.003731003,1.958333333,220,1.630153021,0,0.28562162,0
 01/01  04:00:00,-0.2375,-0.425502497,96.25,0.003581431,1.85,231.6666667,2.415805146,0,0.298181491,0
 01/01  05:00:00,-0.6875,-0.808132854,97.625,0.003496606,2.683333333,234.1666667,2.6778715,0,0.298136759,0
 01/01  06:00:00,-0.9875,-1.083434868,98,0.003423028,2.808333333,230,2.29268538,0,0.292786848,0
 01/01  07:00:00,0.2125,-0.4048082,90.5,0.003466117,1.666666667,177.5,2.542637695,0,0.299080598,0
 01/01  08:00:00,0.8125,0.244389689,90.375,0.00361994,1,157.5,2.761882112,0,0.303576134,0.499505225
 01/01  09:00:00,0.6375,0.338309749,94.875,0.003756419,0.416666667,70.83333333,2.940577836,0,0.303576134,0.464436755
 01/01  10:00:00,1.7875,1.286307484,92.875,0.003987241,1.516666667,272.5,2.717102584,0,0.303576134,0.069762612
 01/01  11:00:00,4.5,3.548013014,87.875,0.004567215,2.6,204.1666667,1.407596828,0,0.232696351,0
 01/01  12:00:00,7.075,5.642859502,82.25,0.005134361,4.408333333,205.8333333,0.973634262,0,0.213156169,0
 01/01  13:00:00,8.4,6.79902394,80.625,0.005525108,6.575,215.8333333,1.024692516,0,0.2241015,0
 01/01  14:00:00,8.825,7.256622515,81,0.005734645,7.2,214.1666667,0.77727366,0,0.162966075,0
 01/01  15:00:00,8.8375,7.279443884,81,0.005750172,8.075,204.1666667,0.877162507,0,0.185399836,0
 01/01  16:00:00,8.8625,7.294404404,81,0.005762512,8.116666667,200,1.06888202,0,0.231871465,0
 01/01  17:00:00,8.775,7.418117509,83.5,0.00590897,8.633333333,200,0.828366543,0,0.172906977,0
 01/01  18:00:00,8.575,7.50973784,86.875,0.006082394,9.3,200,0.945041549,0,0.201744204,0
 01/01  19:00:00,8.5,7.769683608,91.125,0.006350553,8.95,200,1.011626025,0,0.221047443,0
 01/01  20:00:00,8.375,7.87106933,93.625,0.006497024,9.341666667,200,0.815687123,0,0.173569745,0
 01/01  21:00:00,8.3,7.915631542,95.25,0.00658777,10.675,200,0.924709487,0,0.198186464,0
 01/01  22:00:00,8.425,8.237509266,97.875,0.006835967,10.71666667,205.8333333,1.056132955,0,0.23045706,0
 01/01  23:00:00,8.8125,8.616432763,97.75,0.007026635,11.46666667,215.8333333,0.855863767,0,0.178989104,0
 01/01  24:00:00,9.375,9.199291945,98.25,0.007333403,10.55,220,0.792224234,0,0.163437031,0
 01/02  01:00:00,10.1,9.982345135,99,0.007773386,8.95,225.8333333,0.889943348,0,0.203183656,0
 01/02  02:00:00,11.025,10.69143634,96.5,0.008074731,7.533333333,230,0.48977096,0,0.12677397,0
 01/02  03:00:00,11.525,11.0717136,95,0.00822382,7.866666667,230,0.473418781,0,0.123380205,0
 01/02  04:00:00,11.725,11.21619638,94.375,0.008277896,8.7,224.1666667,0.503111858,0,0.128208531,0
 01/02  05:00:00,11.8625,11.10467451,91.5,0.008106611,7.825,225.8333333,0.549503646,0,0.139496503,0
 01/02  06:00:00,11.65,10.65913947,88.75,0.007753587,7.491666667,230,0.612470756,0,0.154844131,0
 01/02  07:00:00,11.625,10.37299225,86.125,0.007494977,7.408333333,230,0.384387743,0,0.108154326,0
 01/02  08:00:00,11.5125,10.33151845,86.875,0.007485063,7.2,230,0.665931314,0,0.16690443,0
 01/02  09:00:00,11.275,10.05406633,86.125,0.007323684,7.491666667,218.3333333,0.725479705,0,0.177427243,0
 01/02  10:00:00,11.45,10.08306469,85,0.007287884,7.116666667,210,0.574879554,0,0.145988665,0
 01/02  11:00:00,11.2875,10.22925609,88.125,0.007473818,6.7,215.8333333,0.575089214,0,0.1463854,0
 01/02  12:00:00,11.1,10.47662648,93.125,0.007799981,7.283333333,214.1666667,0.740627136,0,0.180317152,0
 01/02  13:00:00,11.6625,11.02034878,93.125,0.008112277,8.925,221.6666667,0.502935013,0,0.12975015,0
 01/02  14:00:00,12,11.27413626,92,0.008205665,9.8,230,0.536647641,0,0.137156347,0
 01/02  15:00:00,12,10.95067424,88.25,0.007884917,8.866666667,224.1666667,0.684698329,0,0.169142834,0
 01/02  16:00:00,11.5,10.21748961,85.375,0.007371103,7.908333333,225.8333333,0.415659667,0,0.113554689,0
